Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1666943572982,28/10/2022 07:52:52,1666943572681,2,28/10/2022 09:52:52,102468,2,questionnaire-dbtg,,24862277,8,7339169,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1680x1050,1680x939,,Information sheet and consent ONLINE,1,178,No,91868
1,1667040132445,29/10/2022 10:42:12,1667040132328,2,29/10/2022 12:42:12,102468,2,questionnaire-dbtg,,24884314,5,7339164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x689,,Information sheet and consent ONLINE,1,173,No,141731
1,1667133579871,30/10/2022 12:39:39,1667133579728,1,30/10/2022 13:39:39,102468,2,questionnaire-dbtg,,24894361,6,7339163,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,820x1180,1180x713,,Information sheet and consent ONLINE,1,163,No,265436
1,1667148047862,30/10/2022 16:40:47,1667148047266,1,30/10/2022 17:40:47,102468,2,questionnaire-dbtg,,24898059,2,7339167,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,Information sheet and consent ONLINE,1,168,No,113863
1,1667175433749,31/10/2022 00:17:13,1667175433623,1,31/10/2022 01:17:13,102468,2,questionnaire-dbtg,,24903387,21,7339179,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1470x956,1340x763,,Information sheet and consent ONLINE,1,173,No,25663
1,1667219775814,31/10/2022 12:36:15,1667219775665,1,31/10/2022 13:36:15,102468,2,questionnaire-dbtg,,24910515,34,7339197,,complete,,,tablet,Samsung SM-T970,Android 12,Chrome 106.0.0.0,1318x825,1318x657,,Information sheet and consent ONLINE,1,178,No,113941
1,1667227178157,31/10/2022 14:39:38,1667227175974,1,31/10/2022 15:39:35,102468,2,questionnaire-dbtg,,24913775,18,7339183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,Information sheet and consent ONLINE,1,178,No,119155
1,1667230896281,31/10/2022 15:41:36,1667230896111,1,31/10/2022 16:41:36,102468,2,questionnaire-dbtg,,24915568,27,7339186,,complete,,,mobile,Apple iPhone,iOS 15.6.1,WebKit 605.1.15,414x896,414x814,,Information sheet and consent ONLINE,1,183,No,6061
1,1667232575379,31/10/2022 16:09:35,1667232575540,1,31/10/2022 17:09:35,102468,2,questionnaire-dbtg,,24916131,14,7339175,,complete,,,mobile,Samsung SM-G781B,Android 12,Chrome 107.0.0.0,360x800,360x667,,Information sheet and consent ONLINE,1,173,No,32342
1,1667233190504,31/10/2022 16:19:50,1667233190333,1,31/10/2022 17:19:50,102468,2,questionnaire-dbtg,,24916334,25,7339184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Information sheet and consent ONLINE,1,178,No,125808
1,1667234625783,31/10/2022 16:43:45,1667234630684,1,31/10/2022 17:43:50,102468,2,questionnaire-dbtg,,24916858,17,7339174,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1368x912,1368x801,,Information sheet and consent ONLINE,1,178,No,99252
1,1667290227035,01/11/2022 08:10:27,1667290226942,1,01/11/2022 09:10:26,102468,2,questionnaire-dbtg,,24925371,29,7339190,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,2560x1440,2560x1329,,Information sheet and consent ONLINE,1,183,No,383029
1,1667309816142,01/11/2022 13:36:56,1667309816000,1,01/11/2022 14:36:56,102468,2,questionnaire-dbtg,,24931134,28,7339189,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,Information sheet and consent ONLINE,1,178,No,127435
1,1667471760515,03/11/2022 10:36:00,1667471760430,1,03/11/2022 11:36:00,102468,2,questionnaire-dbtg,,24975099,35,7339196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x937,,Information sheet and consent ONLINE,1,173,No,53088
1,1667473062408,03/11/2022 10:57:42,1667473062340,1,03/11/2022 11:57:42,102468,2,questionnaire-dbtg,,24975518,58,7378074,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x837,,Information sheet and consent ONLINE,1,163,No,20983
1,1667487286935,03/11/2022 14:54:46,1667487286872,1,03/11/2022 15:54:46,102468,2,questionnaire-dbtg,,24980558,57,7378073,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1873x1089,,Information sheet and consent ONLINE,1,168,No,165734
END OF FILE
