"","id","timeStampOnline","timeStampLab","onlineFirst"
"1",1,1667762805032,1667376388003,0
"2",2,1667148617480,1667378119200,1
"3",3,1667753176434,1667380293815,0
"4",4,1667810690832,1667381836083,0
"5",5,1667041114313,1667382847138,1
"6",6,1667134251722,1667383599657,1
"7",8,1666944034772,1667398800099,1
"8",9,1667947468364,1667553376723,0
"9",11,1668154313935,1667403766400,0
"10",12,1667766029742,1667404908390,0
"11",13,1667770925592,1667462795000,0
"12",17,1667235308490,1667489318032,1
"13",18,1667227669006,1667471693110,1
"14",19,1668262616360,1667473064423,0
"15",20,1667807874692,1667475406320,0
"16",21,1667175670757,1667477193306,1
"17",23,1667842994416,1667480922025,0
"18",25,1667233734588,1667483659479,1
"19",26,1667763897538,1667485165013,0
"20",29,1667290858182,1667551501161,1
"21",31,1667811643516,1667558591360,0
"22",32,1667931908038,1667561318726,0
"23",33,1668000113958,1667563675286,0
"24",34,1667220565487,1667565182049,1
"25",35,1667472042129,1667821022189,1
"26",36,1667495859930,1667822244350,1
"27",38,1667986577762,1668073131533,1
"28",39,1667829297025,1668075001052,1
"29",40,1667836398050,1668081831207,1
"30",41,1667829312330,1668154748065,1
"31",45,1667851874531,1667401783486,0
"32",46,1667840824413,1667466925409,0
"33",47,1667763170311,1667470968713,0
"34",49,1668019457825,1667489152639,0
"35",50,1667823685917,1667490199090,0
"36",51,1668110725785,1667557755167,0
"37",55,1667752593102,1667400681672,0
"38",56,1667492427423,1667823913753,1
"39",57,1667488000936,1668092947285,1
"40",58,1667473333381,1667817955535,1
"41",59,1667836524975,1668077040629,1
"42",60,1668178207230,1667815680140,0
"43",61,1667856279774,1668163767325,1
"44",62,1668631184575,1668072150789,0
"45",63,1668808904797,1668169042834,0
"46",65,1668156589033,1668465627482,1
"47",66,1668180137159,1668517936601,1
"48",69,1669024804248,1669378718188,1
"49",71,1670698249798,1671018042007,1
